,lat,lon,time
0,48.152358,17.112273,20250825135907
1,48.152354,17.11226,20250825135908
2,48.152357,17.112257,20250825135909
3,48.152357,17.112257,20250825135910
4,48.152357,17.112257,20250825135911
5,48.152357,17.112257,20250825135912
6,48.152366,17.112275,20250825135913
7,48.152367,17.112275,20250825135914
8,48.152366,17.11228,20250825135915
9,48.152366,17.11228,20250825135916
10,48.152366,17.11228,20250825135917
11,48.152301,17.112285,20250825135935
12,48.152263,17.112283,20250825135936
13,48.152234,17.112332,20250825135937
14,48.152226,17.112393,20250825135938
15,48.152254,17.112457,20250825135939
16,48.152284,17.112558,20250825135940
17,48.152298,17.112616,20250825135941
18,48.152312,17.112686,20250825135942
19,48.152328,17.112746,20250825135943
20,48.152361,17.112832,20250825135944
21,48.152409,17.112909,20250825135945
22,48.152452,17.112915,20250825135946
23,48.152483,17.112945,20250825135947
24,48.152521,17.112985,20250825135948
25,48.152575,17.113068,20250825135949
26,48.152565,17.11311,20250825135950
27,48.152578,17.113141,20250825135951
28,48.15264,17.113147,20250825135952
29,48.152675,17.113162,20250825135953
30,48.152763,17.113157,20250825135954
31,48.15279,17.113226,20250825135955
32,48.152823,17.113283,20250825135956
33,48.152855,17.11331,20250825135957
34,48.152886,17.113358,20250825135958
35,48.15289,17.113397,20250825135959
36,48.152895,17.11344,20250825140000
37,48.152901,17.113466,20250825140001
38,48.1529,17.113464,20250825140002
39,48.1529,17.113464,20250825140003
40,48.1529,17.113464,20250825140004
41,48.1529,17.113464,20250825140005
42,48.1529,17.113464,20250825140006
43,48.1529,17.113464,20250825140007
44,48.1529,17.113464,20250825140008
45,48.1529,17.113464,20250825140009
46,48.152919,17.113715,20250825140010
47,48.152922,17.113722,20250825140011
48,48.152995,17.113798,20250825140042
49,48.153018,17.113831,20250825140043
50,48.153047,17.113859,20250825140044
51,48.153075,17.113893,20250825140045
52,48.153104,17.113918,20250825140046
53,48.153115,17.113958,20250825140047
54,48.153114,17.114021,20250825140048
55,48.153136,17.114067,20250825140049
56,48.153172,17.114099,20250825140050
57,48.153202,17.114133,20250825140051
58,48.153241,17.114175,20250825140052
59,48.153287,17.114202,20250825140053
60,48.153327,17.114236,20250825140054
61,48.153356,17.114307,20250825140055
62,48.153389,17.114374,20250825140056
63,48.153423,17.114429,20250825140058
64,48.153462,17.114484,20250825140059
65,48.153507,17.114528,20250825140100
66,48.153546,17.114576,20250825140101
67,48.15358,17.114633,20250825140102
68,48.153655,17.114735,20250825140103
69,48.15365,17.114763,20250825140104
70,48.153653,17.11479,20250825140105
71,48.153694,17.114797,20250825140106
72,48.153775,17.114855,20250825140107
73,48.153824,17.114928,20250825140108
74,48.153846,17.115015,20250825140109
75,48.153877,17.115065,20250825140110
76,48.153925,17.115111,20250825140111
77,48.153967,17.115155,20250825140112
78,48.153997,17.115193,20250825140113
79,48.154019,17.115227,20250825140114
80,48.154042,17.115251,20250825140115
81,48.15408,17.115231,20250825140116
82,48.154099,17.115164,20250825140117
83,48.154123,17.115126,20250825140118
84,48.154163,17.11514,20250825140119
85,48.154196,17.115203,20250825140120
86,48.154189,17.115287,20250825140121
87,48.154182,17.115353,20250825140122
88,48.154183,17.115404,20250825140123
89,48.154184,17.115456,20250825140124
90,48.154184,17.115472,20250825140125
91,48.154207,17.115509,20250825140126
92,48.154234,17.115555,20250825140127
93,48.154259,17.115603,20250825140128
94,48.154284,17.115638,20250825140129
95,48.154319,17.115681,20250825140130
96,48.154343,17.115718,20250825140131
97,48.154353,17.115728,20250825140132
98,48.154366,17.115728,20250825140133
99,48.154366,17.115737,20250825140134
100,48.154374,17.115739,20250825140135
101,48.154381,17.115738,20250825140136
102,48.15439,17.115752,20250825140137
103,48.154397,17.115762,20250825140138
104,48.154405,17.115771,20250825140139
105,48.154412,17.115781,20250825140140
106,48.154419,17.11579,20250825140141
107,48.154426,17.115799,20250825140142
108,48.154433,17.115809,20250825140144
109,48.154441,17.115818,20250825140201
110,48.154448,17.115828,20250825140202
111,48.154455,17.115837,20250825140203
112,48.154483,17.115824,20250825140204
113,48.154531,17.115804,20250825140205
114,48.154553,17.115772,20250825140206
115,48.154593,17.115759,20250825140207
116,48.154608,17.11576,20250825140208
117,48.15463,17.115705,20250825140209
118,48.154676,17.115661,20250825140210
119,48.154716,17.115516,20250825140211
120,48.154734,17.115473,20250825140212
121,48.154788,17.115441,20250825140213
122,48.15479,17.115529,20250825140214
123,48.154794,17.115582,20250825140215
124,48.154719,17.115526,20250825140216
125,48.154766,17.11559,20250825140217
126,48.154835,17.115671,20250825140218
127,48.154868,17.115771,20250825140219
128,48.154886,17.115895,20250825140220
129,48.154914,17.115936,20250825140221
130,48.15491,17.115997,20250825140222
131,48.154979,17.116106,20250825140223
132,48.155009,17.116166,20250825140224
133,48.155044,17.116188,20250825140225
134,48.155138,17.115876,20250825140226
135,48.15517,17.115806,20250825140227
136,48.155228,17.115704,20250825140228
137,48.155278,17.115628,20250825140229
138,48.155358,17.1156,20250825140230
139,48.155405,17.115586,20250825140231
140,48.155497,17.115618,20250825140232
141,48.15555,17.115651,20250825140233
142,48.15563,17.115822,20250825140234
143,48.155704,17.115902,20250825140235
144,48.155807,17.115998,20250825140236
145,48.155888,17.116074,20250825140237
146,48.155964,17.116137,20250825140238
147,48.156051,17.11624,20250825140239
148,48.156101,17.116321,20250825140240
149,48.156144,17.116374,20250825140241
150,48.15618,17.116443,20250825140242
151,48.156199,17.116548,20250825140243
152,48.156227,17.11659,20250825140244
153,48.156293,17.116563,20250825140245
154,48.156386,17.116515,20250825140246
155,48.156483,17.116504,20250825140247
156,48.156533,17.116502,20250825140248
157,48.156582,17.116512,20250825140249
158,48.156651,17.116484,20250825140250
159,48.156707,17.116459,20250825140251
160,48.156763,17.116456,20250825140252
161,48.15683,17.116456,20250825140253
162,48.156857,17.116474,20250825140254
163,48.156862,17.11649,20250825140255
164,48.156868,17.116595,20250825140256
165,48.15688,17.116707,20250825140257
166,48.156916,17.116783,20250825140258
167,48.156954,17.116835,20250825140259
168,48.156929,17.116908,20250825140300
169,48.156939,17.117,20250825140301
170,48.15693,17.117085,20250825140302
171,48.156929,17.117178,20250825140303
172,48.156963,17.117257,20250825140304
173,48.156977,17.117359,20250825140305
174,48.157001,17.117439,20250825140306
175,48.156996,17.117549,20250825140307
176,48.157046,17.117619,20250825140308
177,48.157048,17.11775,20250825140309
178,48.157099,17.117812,20250825140310
179,48.157106,17.117875,20250825140311
180,48.157129,17.117963,20250825140312
181,48.157105,17.118012,20250825140313
182,48.15704,17.118038,20250825140314
183,48.156981,17.118055,20250825140315
184,48.156953,17.118082,20250825140316
185,48.15691,17.118102,20250825140317
186,48.156884,17.118139,20250825140318
187,48.156853,17.118164,20250825140319
188,48.156828,17.11819,20250825140320
189,48.156818,17.118196,20250825140321
190,48.156785,17.118194,20250825140322
191,48.156769,17.11818,20250825140323
192,48.156742,17.11814,20250825140324
193,48.156696,17.118126,20250825140325
194,48.15673,17.118221,20250825140326
195,48.156755,17.118304,20250825140327
196,48.156789,17.118361,20250825140328
197,48.156833,17.118394,20250825140329
198,48.156887,17.118391,20250825140330
199,48.156943,17.118294,20250825140331
200,48.156957,17.118215,20250825140332
201,48.156982,17.118179,20250825140333
202,48.157014,17.11813,20250825140334
203,48.157059,17.118104,20250825140335
204,48.15707,17.118091,20250825140336
205,48.157081,17.118113,20250825140337
206,48.157092,17.118121,20250825140338
207,48.15695,17.118144,20250825140339
208,48.156921,17.118155,20250825140340
209,48.156949,17.118217,20250825140341
210,48.156938,17.118274,20250825140342
211,48.156956,17.118327,20250825140343
212,48.156976,17.118368,20250825140344
213,48.156976,17.118405,20250825140345
214,48.156975,17.118419,20250825140346
215,48.157019,17.118385,20250825140347
216,48.157034,17.118384,20250825140348
217,48.157072,17.118369,20250825140349
218,48.157103,17.118345,20250825140350
219,48.157124,17.11835,20250825140351
220,48.157141,17.11835,20250825140352
221,48.157157,17.118349,20250825140353
222,48.157179,17.118349,20250825140354
223,48.157162,17.118297,20250825140355
224,48.157187,17.118276,20250825140356
225,48.157202,17.118209,20250825140357
226,48.157213,17.11818,20250825140358
227,48.157239,17.118151,20250825140359
228,48.157223,17.118101,20250825140400
229,48.157207,17.118049,20250825140401
230,48.15719,17.118013,20250825140402
231,48.15719,17.117967,20250825140403
232,48.157171,17.117906,20250825140404
233,48.157153,17.117841,20250825140405
234,48.15713,17.117812,20250825140406
235,48.157124,17.117756,20250825140407
236,48.157084,17.117679,20250825140408
237,48.157063,17.117613,20250825140409
238,48.157006,17.117575,20250825140410
239,48.156994,17.11751,20250825140411
240,48.157013,17.117431,20250825140412
241,48.157016,17.11736,20250825140413
242,48.156992,17.117335,20250825140414
243,48.156989,17.117249,20250825140415
244,48.156982,17.117168,20250825140416
245,48.156963,17.117106,20250825140417
246,48.156956,17.11709,20250825140418
247,48.156934,17.117137,20250825140419
248,48.156919,17.117174,20250825140420
249,48.156879,17.117246,20250825140421
250,48.1568,17.117329,20250825140422
251,48.156748,17.117396,20250825140423
252,48.156706,17.1175,20250825140424
253,48.156662,17.117575,20250825140425
254,48.156618,17.117633,20250825140426
255,48.156573,17.11768,20250825140427
256,48.156546,17.117745,20250825140428
257,48.156514,17.117783,20250825140429
258,48.156411,17.117874,20250825140430
259,48.156391,17.117946,20250825140431
260,48.156362,17.11798,20250825140432
